--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000087> | "rice Rhizoctonia solani seedling blight fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002860> | "Seedling blight"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000087> | "rice Rhizoctonia solani seedling blight fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002861> | "Sheath blight"                                                     |
| <http://purl.obolibrary.org/obo/PDO_0000241> | "maize Gaeumannomyces sheath rot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1002992> | "Sheath rot"                                                        |
| <http://purl.obolibrary.org/obo/PDO_0000223> | "maize Rhizoctonia corticium ear rot fungal disease"^^xsd:string                      | <http://purl.obolibrary.org/obo/OOPS_1003041> | "Banded leaf and sheath spot*"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000223> | "maize Rhizoctonia corticium ear rot fungal disease"^^xsd:string                      | <http://purl.obolibrary.org/obo/OOPS_1003042> | "Rhizoctonia root rot and stalk rot"                                |
| <http://purl.obolibrary.org/obo/PDO_0000223> | "maize Rhizoctonia corticium ear rot fungal disease"^^xsd:string                      | <http://purl.obolibrary.org/obo/OOPS_1003043> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000190> | "maize Alternaria minor leaf spot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1003090> | "Root rots, minor"                                                  |
| <http://purl.obolibrary.org/obo/PDO_0000190> | "maize Alternaria minor leaf spot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1003088> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000190> | "maize Alternaria minor leaf spot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1003089> | "Leaf spots, minor"                                                 |
| <http://purl.obolibrary.org/obo/PDO_0000269> | "maize Botrytis cinerea minor ear rot fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1003029> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000269> | "maize Botrytis cinerea minor ear rot fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1003030> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000035> | "rice crown sheath rot fungal disease"^^xsd:string                                    | <http://purl.obolibrary.org/obo/OOPS_1002853> | "Crown sheath rot"                                                  |
| <http://purl.obolibrary.org/obo/PDO_0000216> | "rice Pythium spinosum water-mold fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1002875> | "Root rots"                                                         |
| <http://purl.obolibrary.org/obo/PDO_0000216> | "rice Pythium spinosum water-mold fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1002876> | "Water-mold (seed-rot and seedling disease)"                        |
| <http://purl.obolibrary.org/obo/PDO_0000029> | "rice black kernel fungal disease"^^xsd:string                                        | <http://purl.obolibrary.org/obo/OOPS_1002866> | "Black kernel"                                                      |
| <http://purl.obolibrary.org/obo/PDO_0000274> | "maize Rhizopus microsporus minor ear rot fungal disease"^^xsd:string                 | <http://purl.obolibrary.org/obo/OOPS_1003094> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000033> | "rice brown spot fungal disease"^^xsd:string                                          | <http://purl.obolibrary.org/obo/OOPS_1002838> | "Brown spot"                                                        |
| <http://purl.obolibrary.org/obo/PDO_0000033> | "rice brown spot fungal disease"^^xsd:string                                          | <http://purl.obolibrary.org/obo/OOPS_1002839> | "Pecky rice (kernel spotting)"                                      |
