	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
141	OOPS:xxxxxxx	R. circinans Tiegh. Rhizopus circinans Tiegh. of Prunus armeniaca L.	NCBITaxon:1542858	Rhizopus circinans Tiegh.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
142	OOPS:xxxxxxx	R. stolonifer Rhizopus stolonifer of Prunus armeniaca L.	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
144	OOPS:xxxxxxx	Aspergillus niger Tiegh. of Prunus armeniaca L.	NCBITaxon:1451139	Aspergillus niger Tiegh.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
145	OOPS:xxxxxxx	Cladosporium spp. of Prunus armeniaca L.	NCBITaxon:668271	Cladosporium spp.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
146	OOPS:xxxxxxx	Mucor spp. of Prunus armeniaca L.	NCBITaxon:1616824	Mucor spp.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
147	OOPS:xxxxxxx	Penicillium expansum Link of Prunus armeniaca L.	NCBITaxon:1407458	Penicillium expansum Link	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
148	OOPS:xxxxxxx	P. italicum Wehmer Penicillium italicum Wehmer of Prunus armeniaca L.	NCBITaxon:1096705	Penicillium italicum Wehmer	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
149	OOPS:xxxxxxx	genus Nepovirus, Strawberry latent ringspot virus of Prunus armeniaca L.	NCBITaxon:28351	Strawberry latent ringspot virus	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
151	OOPS:xxxxxxx	genus Tobamovirus, Cucumber green mottle mosaic virus of Prunus armeniaca L.	NCBITaxon:12235	Cucumber green mottle mosaic virus	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
152	OOPS:xxxxxxx	Pseudomonas syringae van Hall of Persea americana Miller	NCBITaxon:205918	Pseudomonas syringae van Hall	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
154	OOPS:xxxxxxx	Shoemaker of Persea americana Miller	NCBITaxon:173344	Shoemaker	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
157	OOPS:xxxxxxx	Botrytis cinerea Pers.:Fr. of Persea americana Miller	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
162	OOPS:xxxxxxx	Colletotrichum gloeosporioides of Persea americana Miller	NCBITaxon:1215364	Colletotrichum gloeosporioides (Penz.) Penz. & Sacc.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
164	OOPS:xxxxxxx	Cylindrocladium scoparium Morg. of Persea americana Miller	NCBITaxon:1664737	Cylindrocladium scoparium Morg.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
165	OOPS:xxxxxxx	Calonectria kyotensis Terashita [teleomorph] of Persea americana Miller	NCBITaxon:57138	Calonectria kyotensis Terashita [teleomorph]	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
166	OOPS:xxxxxxx	Dothiorella aromatica of Persea americana Miller	NCBITaxon:276832	Dothiorella aromatica (Sacc.) Petr. & Syd.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
167	OOPS:xxxxxxx	D. gregaria Sacc. Dothiorella gregaria Sacc. of Persea americana Miller	NCBITaxon:276832	Dothiorella gregaria Sacc.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
168	OOPS:xxxxxxx	Fusarium decemcellulare C. Brick of Persea americana Miller	NCBITaxon:510258	Fusarium decemcellulare C. Brick	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
170	OOPS:xxxxxxx	Lasiodiplodia theobromae of Persea americana Miller	NCBITaxon:45133	Lasiodiplodia theobromae (Pat.) Griffon & Maubl.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
173	OOPS:xxxxxxx	Tubercularia lateritia of Persea americana Miller	NCBITaxon:29876	Tubercularia lateritia (Berk.) Seifert [anamorph]	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
174	OOPS:xxxxxxx	Pestalotia sp. of Persea americana Miller	NCBITaxon:63205	Pestalotia sp.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
