defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PSO:0000064	Criconema sp. Hofmänner & Menzel Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:312642	Criconema sp. Hofmänner & Menzel	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Criconema sp. Hofmänner & Menzel Nematodes of Saintpaulia ionantha Wendl.|Nematodes
PSO:0000065	Helicotylenchus sp. Steiner Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293581	Helicotylenchus sp. Steiner	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Helicotylenchus sp. Steiner Nematodes of Saintpaulia ionantha Wendl.|Nematodes
PSO:0000066	Pratylenchus pratensis Filipjev Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293588	Pratylenchus pratensis Filipjev	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Pratylenchus pratensis Filipjev Nematodes of Saintpaulia ionantha Wendl.|Nematodes
PSO:0000067	Paratylenchus projectus Micoletzky Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293601	Paratylenchus projectus Micoletzky	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Paratylenchus projectus Micoletzky Nematodes of Saintpaulia ionantha Wendl.|Nematodes
PSO:0000068	Scutellonema brachyurum Andrassy Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:363723	Scutellonema brachyurum Andrassy	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Scutellonema brachyurum Andrassy Nematodes of Saintpaulia ionantha Wendl.|Nematodes
PSO:0000069	Meloidogyne arenaria Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6304	Meloidogyne arenaria (Neal) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Meloidogyne arenaria Root knot of Saintpaulia ionantha Wendl.|Root knot
PSO:0000070	Meloidogyne hapla Chitwood Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6305	Meloidogyne hapla Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Meloidogyne hapla Chitwood Root knot of Saintpaulia ionantha Wendl.|Root knot
PSO:0000071	Meloidogyne javanica Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6303	Meloidogyne javanica (Treub) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Meloidogyne javanica Root knot of Saintpaulia ionantha Wendl.|Root knot
PSO:0000072	Meloidogyne incognita Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:654580	Meloidogyne incognita (Kofoid & White) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Meloidogyne incognita Root knot of Saintpaulia ionantha Wendl.|Root knot
PSO:0000073	Candidatus Phytoplasma asteris Alfalfa witches’-broom of Medicago sativa L.	NCBITaxon:1671257	Candidatus Phytoplasma asteris	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Candidatus Phytoplasma asteris Alfalfa witches’-broom of Medicago sativa L.|Candidatus Phytoplasma australiense Australian lucerne yellows of Medicago sativa L.|Alfalfa witches’-broom|Australian lucerne yellows
PSO:0000074	Candidatus Phytoplasma aurantifolia Alfalfa witches’-broom of Medicago sativa L.	NCBITaxon:1682492	Candidatus Phytoplasma aurantifolia	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Candidatus Phytoplasma aurantifolia Alfalfa witches’-broom of Medicago sativa L.|Candidatus Phytoplasma fraxini Alfalfa witches’-broom of Medicago sativa L.|Candidatus Phytoplasma aurantifolia Australian lucerne yellows of Medicago sativa L.|Alfalfa witches’-broom|Alfalfa witches’-broom|Australian lucerne yellows
PSO:0000075	Xanthomonas alfalfae subsp. alfalfae Bacterial leaf spot of Medicago sativa L.	NCBITaxon:366650	Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007 (syn. Xanthomonas campestris pv. alfalfae (Riker et al.) Dye)	NCBITaxon:36902	Medicago sativa L.	PO:0009025	leaf	Xanthomonas alfalfae subsp. alfalfae Bacterial leaf spot of Medicago sativa L.|Bacterial leaf spot
PSO:0000076	Pseudomonas syringae pv. syringae van Hall Bacterial stem blight of Medicago sativa L.	NCBITaxon:205918	Pseudomonas syringae pv. syringae van Hall	NCBITaxon:36902	Medicago sativa L.	PO:0009047	stem	Pseudomonas syringae pv. syringae van Hall Bacterial stem blight of Medicago sativa L.|Bacterial stem blight
